locus_tag.d6,locus_tag.168,title,description,function,strand,cor,P_value
A8O17_RS08005,BSU_15370,ylmD,peptidoglycan-editing factor,BSU_15370,+,0.989147960745576,0.002
A8O17_RS01655,BSU_02940,yceH,similar to toxic anion resistance protein,unknown,+,0.9794030740734783,0.002
A8O17_RS00075,BSU_00100,dacA,Class C penicillin-binding protein 5,BSU_00100,+,0.9696043500779611,0.002
A8O17_RS04460,BSU_08460,yfhA,[wiki|ABC transporter] for the siderophore schizokinen and arthrobactin (permease),BSU_08460,+,0.961942381656633,0.002
A8O17_RS18745,BSU_38170,qoxA,cytochrome aa3 quinol oxidase (subunit II),respiration,-,0.9569574263678647,0.001
A8O17_RS12620,BSU_26630,yrdQ,similar to transcriptional regulator ([wiki|LysR family]),unknown,+,0.9529049930174915,0.001
A8O17_RS05115,BSU_09530,yhdN,general stress protein,BSU_09530,+,0.9498438914473165,0.002
A8O17_RS06930,BSU_13380,ykoS,unknown,unknown,+,0.9402925111267153,0.001
A8O17_RS06680,BSU_12910,proG,1-pyrroline-5-carboxylate dehydrogenase,biosynthesis of proline,+,0.9388261474411785,0.002
A8O17_RS05145,BSU_09600,fluC,flouride exporter (together with [[protein|BD1C4D9E6E8960DF77EE1571A637929C2D8C4A28]]),export of flouride,-,0.9381254989555833,0.002
A8O17_RS16420,BSU_33670,yvaO,similar to transcription regulator ([wiki|Xre family]),unknown,+,0.9249812792660691,0.001
A8O17_RS03850,BSU_07250,yetO,cytochrome P450 (CYP102A2)/ NADPH-cytochrome P450 reductase,fatty acid metabolism,+,0.9224247583606319,0.002
A8O17_RS20860,BSU_19745,BSU_19745,NA,NA,-,0.9223069436549026,0.001
A8O17_RS10690,BSU_22340,nth,apurinic/apyrimidinic endonuclease,removes abasic sites during base excision repair,-,0.9211696208195497,0.001
A8O17_RS02860,BSU_05350,ydfB,similar to GCN5-related N-acetyltransferase,unknown,+,0.9209854153533523,0.002
A8O17_RS16725,BSU_34280,epsJ,UDP-N-acetyl-glucosamine transferase,BSU_34280,-,0.9167167357798014,0.002
A8O17_RS17040,BSU_34890,hisH,imidazole glycerol phosphate synthase (glutaminase subunit),biosynthesis of histidine,-,0.9030779177883436,0.001
