Locus tag, Gene, Annotation, Correlatin, P-value
A8O17_RS00185, , 5-bromo-4-chloroindolyl phosphate hydrolysisfamily protein, 0.9970026085631418, 0.0011
A8O17_RS13650, , endonuclease MutS2, 0.9952601493254528, 0.002
A8O17_RS13390, valS, valine--tRNA ligase, 0.993243066832876, 0.002
A8O17_RS16315, , disulfide bond formation protein B, 0.9915859866622425, 0.002
A8O17_RS09125, , hypothetical protein, 0.9912749563825748, 0.002
A8O17_RS17980, moaA, GTP 3',8-cyclase MoaA, 0.9886003029829332, 0.002
A8O17_RS01585, , DUF4901 domain-containing protein, 0.9884326225356556, 0.002
A8O17_RS03570, , efflux RND transporter permease subunit, 0.9874882838119694, 0.002
A8O17_RS16365, , multidrug efflux SMR transporter, 0.9862083861448909, 0.002
A8O17_RS11400, , DNA polymerase IV, 0.9838454472536198, 0.002
A8O17_RS11250, spoVAB, stage V sporulation protein SpoVAB, 0.9824799703315028, 0.002
A8O17_RS10930, , hypothetical protein, 0.9819832388282511, 0.002
A8O17_RS14380, pbuO, hypoxanthine/guanine permease PbuO, 0.9817833648420627, 0.002
A8O17_RS01975, , DMT family transporter, 0.980353636904403, 0.002
A8O17_RS16760, , polysaccharide biosynthesis protein, 0.9794004018557037, 0.002
A8O17_RS08615, , PolC-type DNA polymerase III, 0.9735363188619431, 0.002
A8O17_RS03995, yfmC, Fe(3+)-citrate ABC transporter substrate-bindingprotein YfmC, 0.9733438140955871, 0.002
A8O17_RS03900, yfmT, benzaldehyde dehydrogenase, 0.9716644106137997, 0.002
A8O17_RS07970, , bacillopeptidase F, 0.9712231201795278, 0.002
A8O17_RS15290, maeL, two-component system sensor histidine kinaseMaeL, 0.9700808166375842, 0.002
A8O17_RS18880, , glycosyltransferase family 8 protein, 0.9679575934752755, 0.002
A8O17_RS13915, polA, DNA polymerase I, 0.9638972760456845, 0.002
A8O17_RS13710, , (Fe-S)-binding protein, 0.9632608690348411, 0.002
A8O17_RS17345, degU, two-component system response regulator DegU, 0.9618698931407099, 0.002
A8O17_RS08265, plsX, phosphate acyltransferase PlsX, 0.9607769665635335, 0.002
A8O17_RS05175, , polysaccharide deacetylase, 0.9586873611888291, 0.002
A8O17_RS11280, , purine nucleoside phosphorylase I, inosine and guanosine-specific, 0.9584857405371359, 0.002
A8O17_RS06915, , glycosyl transferase, 0.9579217055559763, 0.002
A8O17_RS04920, , L-cystine transporter, 0.9554570944637282, 0.002
A8O17_RS05380, sndC, N-acetyl amino acid acetylase SndC, 0.9550650190220009, 0.002
A8O17_RS17230, cccB, cytochrome c-551, 0.9550550469090703, 0.002
A8O17_RS14400, , rRNA pseudouridine synthase, 0.9548364067219717, 0.002
A8O17_RS19065, , M48 family metalloprotease, 0.9511427089631881, 0.002
A8O17_RS08290, smc, chromosome segregation protein SMC, 0.9495585274952594, 0.002
A8O17_RS10770, , nucleotide pyrophosphohydrolase, 0.9488915125299099, 0.002
A8O17_RS18785, , cation acetate symporter, 0.9482109548026292, 0.002
A8O17_RS02830, , MFS transporter, 0.9468350096599978, 0.002
A8O17_RS19990, , CynX/NimT family MFS transporter, 0.9454718365108713, 0.002
A8O17_RS11595, yqiS, phosphate butyryltransferase, 0.9424330889348046, 0.002
A8O17_RS18950, , branched-chain amino acid aminotransferase, 0.9423834426022292, 0.002
A8O17_RS09350, parE, DNA topoisomerase IV subunit B, 0.9404625455936599, 0.002
