locus,title,description,function
 BSU_17890, tkt, transketolase, pentose phosphate pathway
 BSU_20290, yorQ, unknown, unknown
 BSU_21700, ypoP, similar to transcriptional regulator ([wiki|MarR family]), unknown
 BSU_39850, yxbF, similar to transcriptional regulator ([wiki|TetR family]), unknown
 BSU_15640, rqcH, ribosome-associated protein quality control factor, BSU_15640
 BSU_02950, niaP, nicotinate transporter, uptake of niacin
 new_4047463_4047537, S1517, new RNA feature, new_4047463_4047537
 BSU_01650, namZ, exo-β-N-acetylmuramidase, cell wall turnover and recycling
 BSU_00390, yabD, putative metal-dependent hydrolase, unknown
 BSU_17540, ynaF, unknown, unknown
 new_4164565_4165231, S1559, antisense RNA to [[gene|9B624751E8BD3EA616B4B50633A558F4CE032E2C]], control of [[gene|9B624751E8BD3EA616B4B50633A558F4CE032E2C]] expression
 new_2195060_2195563_c, S777, new RNA feature,
 new_2195060_2195563_c, , ,
 BSU_05344, ydzS/2, part of the ydzS pseudogene, unknown
 BSU_07180, yezB, split paralog of [[protein|621357D1FB6AC1B0499732EFE226F982B26CE34E]] (with [[protein|778B0E3A524EFE38DE3917FA69F21563D525D1DA]]), possible stressosome protein
 BSU_29780, ytxG, general stress protein, unknown
 BSU_05810, gmuB, glucomannan-specific permease of the [wiki|phosphotransferase systems|phosphotransferase system], BSU_05810
 BSU_33870, yvbI, unknown, unknown
 BSU_16770, dapA, dihydrodipicolinate synthase, biosynthesis of lysine and peptidoglycan
 BSU_08730, perR, transcriptional repressor of the peroxide regulon, BSU_08730
 BSU_24360, spoIIIAH, component of the [[protein|SpoIIIA]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] type III secretion system residing in the forespore membrane, BSU_24360
 new_3582691_3582779_c, S1330, new RNA feature, new_3582691_3582779_c
 new_1603712_1603778, S563, new RNA feature, new_1603712_1603778
 BSU_02710, yczC, unknown, unknown
 new_1369127_1369854_c, S464, new RNA feature, new_1369127_1369854_c
 new_1041710_1041809_c, S336, new RNA feature, new_1041710_1041809_c
 BSU_40480, yycB, similar to permeases, unknown
 new_1041733_1041928, S337, new RNA feature, new_1041733_1041928
 new_1268593_1268828, S435, new RNA feature,
 new_1268593_1268828, , ,
 new_3386852_3387780_c, S1270, new RNA feature, new_3386852_3387780_c
 BSU_15940, smc, part of the [wiki|condensin] complex, BSU_15940
 new_839233_839338_c, S266, new RNA feature,
 new_839233_839338_c, , ,
 new_3509781_3509830_c, S1307, new RNA feature, new_3509781_3509830_c
 new_2161801_2162107_c, S768, new RNA feature,
 new_2161801_2162107_c, , ,
 BSU_00240, csfB, anti-sigma factor, BSU_00240
 BSU_09780, yheC, ATP-binding spore coat protein, unknown
 new_1571801_1571902_c, S551, new RNA feature, new_1571801_1571902_c
 BSU_31670, yuxO, similar to thioesterase, unknown
 BSU_31730, yuzC, spore coat protein, protection of the spore
 BSU_13850, pfeT, Fe<sup>2+</sup> efflux pump, protects the cell against iron intoxication
 new_1900515_1901611, S640, new RNA feature,
 new_1900515_1901611, , ,
 BSU_25565, BSU_25565, , 
 BSU_13360, ykoP, unknown, unknown
 new_1570575_1571849, S550, new RNA feature,
 new_1570575_1571849, , ,
 BSU_15560, pyrE, orotate phosphoribosyltransferase, pyrimidine biosynthesis
 new_3495702_3495768_c, S1306, new RNA feature, new_3495702_3495768_c
 BSU_12110, yjfA, unknown, unknown
 BSU_28475, lysCB, , 
 new_667383_667465, S220, new RNA feature, new_667383_667465
