"category id","category","gene locus","gene name"
"SW.2.2.1.3","Pentose phosphate pathway","BSU_17890",""
"SW.5.1.2","SP-beta prophage","BSU_20290",""
"SW.3.4.2.6","Transcription factor/ other/ based on similarity","BSU_21700",""
"SW.2.6.2.11","Biosynthesis of NAD(P)","BSU_02950",""
"SW.6.2","Membrane proteins","BSU_02950",""
"SW.4.2.1.5","Newly identified sporulation proteins (based on transcription profiling)","BSU_01650",""
"SW.6.7","Proteins of unknown function","BSU_00390",""
"SW.6.7","Proteins of unknown function","BSU_17540",""
"SW.6.10","Pseudogenes","BSU_05344",""
"SW.3.4.1.2","Control of sigma factors","BSU_07180",""
"SW.6.10","Pseudogenes","BSU_07180",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_29780",""
"SW.6.2","Membrane proteins","BSU_29780",""
"SW.2.2.2.25","Utilization of glucomannan","BSU_05810",""
"SW.6.2","Membrane proteins","BSU_33870",""
"SW.6.7","Proteins of unknown function","BSU_33870",""
"SW.1.1.1.1","Biosynthesis of peptidoglycan","BSU_16770",""
"SW.2.3.1.6","Biosynthesis/ acquisition of lysine/ threonine","BSU_16770",""
"SW.2.6.1.1","Biosynthesis of peptidoglycan","BSU_16770",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_16770",""
"SW.6.1","Essential genes","BSU_16770",""
"SW.3.4.2.5","Transcription factors/ other","BSU_08730",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_08730",""
"SW.3.3.5","Protein secretion","BSU_24360",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_24360",""
"SW.6.2","Membrane proteins","BSU_24360",""
"SW.6.2","Membrane proteins","BSU_02710",""
"SW.6.7","Proteins of unknown function","BSU_02710",""
"SW.6.2","Membrane proteins","BSU_40480",""
"SW.3.1.3","DNA condensation/ segregation","BSU_15940",""
"SW.6.1","Essential genes","BSU_15940",""
"SW.3.4.1.2","Control of sigma factors","BSU_00240",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_00240",""
"SW.6.2","Membrane proteins","BSU_09780",""
"SW.6.2","Membrane proteins","BSU_13850",""
"SW.4.2.1.5","Newly identified sporulation proteins (based on transcription profiling)","BSU_13360",""
"SW.2.5.2.4","Biosynthesis/ acquisition of pyrimidine nucleotides","BSU_15560",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_12110",""
"SW.5.1.2","SP-beta prophage","BSU_20830",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_12170",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_12170",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_04430",""
"SW.4.3.9","Resistance against oxidative and electrophile stress/ based on similarity","BSU_04430",""
"SW.5.1.2","SP-beta prophage","BSU_21340",""
"SW.3.4.2.5","Transcription factors/ other","BSU_00560",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_00560",""
"SW.6.7","Proteins of unknown function","BSU_10480",""
"SW.4.2.1.5","Newly identified sporulation proteins (based on transcription profiling)","BSU_13290",""
"SW.5.1.3","Skin element","BSU_26330",""
"SW.6.6","Poorly characterized/ putative enzymes","BSU_19020",""
"SW.3.3.4.4","Protein phosphatases","BSU_10730",""
"SW.6.7","Proteins of unknown function","BSU_32790",""
"SW.6.7","Proteins of unknown function","BSU_04020",""
"SW.2.5.3","Metabolism of signalling nucleotides","BSU_31740",""
"SW.2.4.1.3","Utilization of fatty acids","BSU_14071",""
"SW.2.2.2.6","Utilization of arabinan/ arabinose/ arabitol","BSU_28800",""
"SW.4.3.14","Resistance against toxins/ antibiotics/ based on similarity","BSU_12220",""
"SW.6.2","Membrane proteins","BSU_03970",""
"SW.6.7","Proteins of unknown function","BSU_03970",""
"SW.2.2.1.4","TCA cycle","BSU_19360",""
"SW.6.2","Membrane proteins","BSU_19360",""
"SW.2.5.2.3","Purine salvage and interconversion","BSU_22070",""
"SW.3.3.1.4","Ribosomal proteins","BSU_01170",""
"SW.6.1","Essential genes","BSU_01170",""
"SW.2.3.1.6","Biosynthesis/ acquisition of lysine/ threonine","BSU_23380",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_23380",""
"SW.1.1.3.1","Autolysis","BSU_28930",""
"SW.3.3.4.2","Protein kinases","BSU_28930",""
"SW.3.4.2.2.1","Two-component sensor kinase","BSU_28930",""
"SW.6.2","Membrane proteins","BSU_28930",""
"SW.6.7","Proteins of unknown function","BSU_15069",""
"SW.3.3.1.2","rRNA modification and maturation","BSU_00950",""
"SW.6.7","Proteins of unknown function","BSU_19030",""
"SW.4.3.14","Resistance against toxins/ antibiotics/ based on similarity","BSU_30350",""
"SW.6.2","Membrane proteins","BSU_30350",""
"SW.2.3.1.14","Biosynthesis/ acquisition of histidine","BSU_34910",""
"SW.4.3.13","Resistance against toxins/ antibiotics","BSU_05610",""
"SW.2.1.2.1","Terminal oxidases","BSU_38140",""
"SW.6.2","Membrane proteins","BSU_38140",""
"SW.2.1.2.1","Terminal oxidases","BSU_21750",""
"SW.6.2","Membrane proteins","BSU_21750",""
"SW.3.3.1.4","Ribosomal proteins","BSU_37070",""
"SW.3.1.1","DNA replication","BSU_17900",""
"SW.4.2.1.4","Sporulation proteins/ other","BSU_00600",""
"SW.6.2","Membrane proteins","BSU_00600",""
"SW.3.2.3","DEAD-box RNA helicases","BSU_07430",""
"SW.3.3.1.6","Ribosome assembly","BSU_07430",""
"SW.3.3.1.8","tRNA modification and maturation","BSU_27710",""
"SW.3.3.4.2","Protein kinases","BSU_08290",""
"SW.3.4.2.2.1","Two-component sensor kinase","BSU_08290",""
"SW.6.2","Membrane proteins","BSU_08290",""
"SW.3.3.1.8","tRNA modification and maturation","BSU_08930",""
"SW.6.7","Proteins of unknown function","BSU_08280",""
"SW.3.1.5","DNA repair/ recombination","BSU_22400",""
"SW.3.4.2.6","Transcription factor/ other/ based on similarity","BSU_26320",""
"SW.5.1.3","Skin element","BSU_26320",""
"SW.2.6.2.10","Biosynthesis of molybdopterin","BSU_14280",""
"SW.2.6.6.6","Metabolism of polyamines","BSU_14630",""
"SW.4.1.2","Biofilm formation","BSU_14630",""
"SW.5.1.2","SP-beta prophage","BSU_20170",""
"SW.3.1.1","DNA replication","BSU_06620",""
"SW.6.1","Essential genes","BSU_06620",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_39050",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_39050",""
"SW.3.4.2.6","Transcription factor/ other/ based on similarity","BSU_05390",""
"SW.5.1.3","Skin element","BSU_25990",""
"SW.4.2.1.5","Newly identified sporulation proteins (based on transcription profiling)","BSU_36200",""
"SW.2.2.2.27","Utilization of other polymeric carbohydrates","BSU_39070",""
"SW.2.3.1.13","Biosynthesis/ acquisition of aromatic amino acids","BSU_22660",""
"SW.2.5.2.5","Biosynthesis/ acquisition of nucleotides/ other","BSU_33610",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_33610",""
"SW.3.3.4.2","Protein kinases","BSU_35500",""
"SW.3.4.2.2.1","Two-component sensor kinase","BSU_35500",""
"SW.2.3.1.10","Biosynthesis/ acquisition of methionine/ S-adenosylmethionine","BSU_32730",""
"SW.6.2","Membrane proteins","BSU_32730",""
"SW.4.1.1.3","Flagellar proteins/ based on similarity","BSU_35440",""
"SW.4.2.1.5","Newly identified sporulation proteins (based on transcription profiling)","BSU_36990",""
"SW.6.2","Membrane proteins","BSU_36990",""
"SW.2.4.1.2","Utilization of phospholipids/ based on similarity","BSU_09620",""
"SW.3.1.7","Genetic competence","BSU_35450",""
"SW.4.1.3","Genetic competence","BSU_35450",""
"SW.2.3.1.10","Biosynthesis/ acquisition of methionine/ S-adenosylmethionine","BSU_11870",""
"SW.6.7","Proteins of unknown function","BSU_06269",""
"SW.6.2","Membrane proteins","BSU_06550",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_38180",""
"SW.6.1","Essential genes","BSU_31630",""
"SW.6.2","Membrane proteins","BSU_31630",""
"SW.4.3.17","Toxins, antitoxins and immunity against toxins","BSU_04650",""
"SW.4.3.18","Toxins, antitoxins and immunity against toxins/ based on similarity","BSU_03789",""
"SW.2.3.3.4","Utilization of peptides","BSU_11460",""
"SW.3.1.7","Genetic competence","BSU_11460",""
"SW.4.1.3","Genetic competence","BSU_11460",""
"SW.6.2","Membrane proteins","BSU_11460",""
"SW.6.7","Proteins of unknown function","BSU_22590",""
"SW.2.4.1.1","Utilization of phospholipids","BSU_04110",""
"SW.3.4.2.6","Transcription factor/ other/ based on similarity","BSU_05240",""
"SW.2.2.2.21","Utilization of melibiose","BSU_30280",""
"SW.6.2","Membrane proteins","BSU_30280",""
"SW.3.3.1.1","Ribosomal RNA","BSU_rRNA_8",""
"SW.2.3.3.4","Utilization of peptides","BSU_12930",""
"SW.6.2","Membrane proteins","BSU_12930",""
"SW.6.2","Membrane proteins","BSU_39950",""
"SW.6.7","Proteins of unknown function","BSU_39950",""
"SW.4.2.1.5","Newly identified sporulation proteins (based on transcription profiling)","BSU_09210",""
"SW.6.2","Membrane proteins","BSU_38390",""
"SW.6.7","Proteins of unknown function","BSU_13270",""
"SW.3.3.1.8","tRNA modification and maturation","BSU_15730",""
"SW.6.7","Proteins of unknown function","BSU_26510",""
"SW.1.1.5","Cell wall/ other","BSU_40390",""
"SW.3.4.2.2.3","Control of response regulators/ other","BSU_40390",""
"SW.6.2","Membrane proteins","BSU_40390",""
"SW.6.2","Membrane proteins","BSU_14720",""
"SW.6.7","Proteins of unknown function","BSU_14720",""
"SW.4.3.17","Toxins, antitoxins and immunity against toxins","BSU_33760",""
"SW.6.2","Membrane proteins","BSU_33760",""
"SW.2.4.1.3","Utilization of fatty acids","BSU_32830",""
"SW.4.3.1","General stress proteins (controlled by SigB)","BSU_39810",""
"SW.4.3.8","Resistance against oxidative and electrophile stress","BSU_39810",""
"SW.6.2","Membrane proteins","BSU_39810",""
"SW.6.2","Membrane proteins","BSU_32040",""
"SW.6.7","Proteins of unknown function","BSU_32040",""
"SW.2.4.2.2","Biosynthesis of phospholipids","BSU_37240",""
